Date,Volume,Adj Close,Return
12/14/2016,4144600,198.690002,0.272525
12/13/2016,6816100,198.149994,2.972510
12/12/2016,615800,192.429993,0.130086
12/9/2016,2719600,192.179993,-0.057205
12/8/2016,3187300,192.289993,-0.445250
12/7/2016,5441400,193.149994,3.927892
12/6/2016,3372000,185.850006,-0.508564
12/5/2016,4066500,186.800003,2.937126
12/2/2016,4037200,181.470001,-0.225426
12/1/2016,5112100,181.880005,-3.970427
11/30/2016,3535000,189.399994,-0.089683
11/29/2016,4431200,189.570007,-3.339786
11/28/2016,4487100,196.119995,-0.269514
11/25/2016,2363800,196.649994,1.817332
11/23/2016,4885300,193.139999,1.030497
11/22/2016,5600300,191.169998,3.603942
11/21/2016,4344600,184.520004,-0.270241
11/18/2016,5201100,185.020004,-1.929397
11/17/2016,4777800,188.660004,2.571637
11/16/2016,3430400,183.929993,0.087059
11/15/2016,3898900,183.770004,1.278593
11/14/2016,6542200,181.449997,-3.770684
11/11/2016,3984400,188.559998,1.731854
11/10/2016,6748500,185.350006,-2.478161
11/9/2016,8158800,190.059998,-2.503336
11/8/2016,3251400,194.940002,0.895396
11/7/2016,3852000,193.210007,1.390643
11/4/2016,5140900,190.559998,1.675382
11/3/2016,2641400,187.419998,-0.319118
11/2/2016,4208700,188.020004,-1.451852
11/1/2016,7014900,190.789993,-3.509838
10/31/2016,4685100,197.729996,-1.120171
10/28/2016,4255500,199.970001,-1.980292
10/27/2016,13066400,204.009995,0.875193
10/26/2016,4647800,202.240005,-0.049417
10/25/2016,2445000,202.339996,-0.207141
10/24/2016,2751600,202.759995,1.334399
10/21/2016,2943400,200.089996,0.497233
10/20/2016,5072900,199.100006,-2.190996
10/19/2016,6991200,203.559998,2.240076
10/18/2016,5680500,199.100006,2.650030
10/17/2016,4554100,193.960007,-1.297638
10/14/2016,4269900,196.509995,-1.862770
10/13/2016,2494600,200.240005,-0.630237
10/12/2016,1970700,201.509995,0.704642
10/11/2016,2328400,200.100006,-0.422986
10/10/2016,3316300,200.949997,2.207414
10/7/2016,3493000,196.610001,-2.184079
10/6/2016,4703400,201,-3.578627
10/5/2016,1877500,208.460007,-3.578627
